 ID         Focal    Az   El   Azs  Els
  1 659579.814147  19.8 69.3 150.3 50.8
  2 634799.132509  24.0 76.4 150.3 50.9
  3 653341.209549 138.1 70.8 150.9 48.5
  4 623217.430403 267.3 81.9 156.3 47.2
  5 648021.166769 111.7 72.2 155.7 42.6
  6 640911.280574  42.6 74.3 158.6 33.5
  7 633229.634509 218.4 77.0 158.9 33.5
  9 675916.848195 205.6 65.9 155.1 36.0
 10 729147.935363 201.9 57.8 155.2 36.0
 11 619750.474543 144.3 84.6 152.9 36.8
 12 647299.665059   3.8 72.4 150.2 42.2
 13 654949.438778 187.7 70.4 135.1 64.9
 14 669789.161088 260.3 67.1 137.0 68.4
 15 691250.059372  85.4 63.2 125.0 66.3
 16 658286.414246 218.4 69.6 131.6 69.2
 18 620991.825075 247.6 83.5 120.6 72.4
 19 631495.619185 111.4 77.7 108.0 72.1
 20 691861.077786 258.8 63.1 114.7 74.5
 22 631736.984541  53.4 77.6 163.0 43.8
