 ID       Focal    Az   El   Azs  Els
  1 659579.8141  19.8 69.3 150.3 50.8
  2 634799.1325  24.0 76.4 150.3 50.9
  3 653341.2095 138.1 70.8 150.9 48.5
  4 623217.4304 267.3 81.9 156.3 47.2
  5 648021.1668 111.7 72.2 155.7 42.6
  6 640911.2806  42.6 74.3 158.6 33.5
  7 633229.6345 218.4 77.0 158.9 33.5
  8 642511.7745 212.8 73.8 155.0 36.0
  9 675916.8482 205.6 65.9 155.1 36.0
 10 729147.9354 201.9 57.8 155.2 36.0
 11 619750.4745 144.3 84.6 152.9 36.8
 12 647299.6651   3.8 72.4 150.2 42.2
 13 654949.4388 187.7 70.4 135.1 64.9
 14 669789.1611 260.3 67.1 137.0 68.4
 15 691250.0594  85.4 63.2 125.0 66.3
 16 658286.4142 218.4 69.6 131.6 69.2
 18 620991.8251 247.6 83.5 120.6 72.4
 19 631495.6192 111.4 77.7 108.0 72.1
 20 691861.0778 258.8 63.1 114.7 74.5
 21 730758.7270 254.1 57.6 159.9 57.3
 22 631736.9845  53.4 77.6 163.0 43.8
 23 654949.4388 167.8 70.4 163.3 43.8
 25 667354.5476 212.5 67.6 156.6 42.7
 26 710312.7042 268.1 60.3 158.6 45.8
